<U>2, so I can bring my family<C><U>Are there any good movies in Spring Hills, Kansas this afternoon?<A>What kind of movie are you looking for?<U>Something for my family.<PN>find_movies<PAN>description.other<PAV>good movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 72% approval on Rotten Tomatoes<A>Okay, Family Jewels is an romantic comedy movie rated 69% on Rotten Tomatoes and Not My Problem is a comedy movie that is rated 72% approval on Rotten Tomatoes<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I'd like to see Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Ok, it is showing at the AMC Holiday Theater<U>Perfect<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2<PRAV>5<PRAV>8:10 pm<A>It's showing at 2, 5 and 8:10 pm. What time do you prefer?	[A]How many tickets do you need?	dlg-3c092ed8-7551-4e3d-81ad-7836d79ed716
<U>What time?<C><U>I want to see a movie with Lorena tonight.<A>What movie do you have in mind?<U>Joker.<A>Choke her? I don't think that's a movie and I hope you don't want to do that to Lorena.<U>No, Joker. As in Batman and Joker.<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>great reviews<A>Ah, yes. My bad. That movie got great reviews.<U>Yeah, Joaquin Phoenix did well I hear.<A>Letterman wanted to choke him once.<U>Ha Ha. So is it playing tonight?<PN>find_theaters<PAN>name.movie<PAV>Joker<PR>find_theaters<PRAN>name.theater<PRAV>AMC Empire<PRAV>Cinema Village<A>Yes. At AMC Empire.	[PN]find_showtimes[PAN]name.movie[PAV]Joker[PAN]name.theater[PAV]AMC Empire[PAN]date.showing[PAV]tonight[PAN]time.preference[PAV]tonight	dlg-df1bf958-9177-423c-a9ec-f8257995bac2
<U>Get tickets for time 2.<C><U>Alexa, tell me what movies are playing tomorrow.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>B<PRAV>C<PRAV>D<PRAV>A<A>User, Movies A, B, C, D, are playing tomorrow, would you like to hear show times?<U>Tell me about Movie B.<PN>get_movie_attribute<PAN>name.movie<PAV>Movie B<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Movie B<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Adam Sandler<PN>get_movie_attribute<PAN>name.movie<PAV>Movie B<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>where he falls in love with a psycho clown<A>Movie B is a Horror Comedy starring Adam Sandler where he falls in love with a psycho clown.<U>Tell me about Movie C.<A>Movie C is SHORT DESCRIPTION.<U>What does Rotten Tomatoes say about Movie C?<PN>get_movie_attribute<PAN>name.movie<PAV>Movie C<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>INSERT REVIEW SCORE<A>Rotten Tomatoes gives it a INSERT REVIEW SCORE.<U>What about movie D?<A>Movie D is a remake of a remake or an old movie no one liked.<U>Have I seen movies like movie D?<A>Movie D was directed by Name who directed movies like MOVIE X, MOVIE Y, MOVIE Z.<U>Message friend Zulu if s/he wants to see movie D tomorrow.<A>Sending Message to friend Zulu.<U>Go ahead and get two tickets to movie D.<A>What time do you want to watch the movie?<U>What times are the movie playing?<PN>find_theaters<PAN>name.movie<PAV>movie D<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>theater N<PN>find_showtimes<PAN>name.movie<PAV>movie D<PAN>name.theater<PAV>theater N<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>time 1<PRAV>time 2<PRAV>time 3<A>Movie D is playing at theater N at time 1, time 2, time 3.	[PN]book_tickets[PAN]name.movie[PAV]movie D[PAN]name.theater[PAV]theater N[PAN]num.tickets[PAV]two[PAN]time.showing[PAV]time 2[PAN]date.showing[PAV]tomorrow[PAN]seating[PAV]any	dlg-ebc2d062-2d40-4296-a4a2-7862cfd95983
<PR>find_movies<PRAN>name.movie<PRAV>empty<C><U>We are looking to get tickets for a movie this evening.<A>OK. Can you tell me the city and state where the theater is located?<U>Santa Barbara, California please.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>Oh I have been to both of them. They are nice.<A>OK. Is there a movie you have in mind?<U>I do not even know what has been released lately.<A>Sure. Do you have a favorite genre?<U>Genre? What do you mean?<A>Genre is the movie category, like comedy, drama, action, etc.<U>Oh I get it, I like action the best.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action	[A]I found one action movie at AMC Mountain 16: No Time To Die.	dlg-8e85a47b-d1bd-4e82-ad40-3ee5b657cba2
"<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<C><U>i need movie ticket for today<A>Sir which kind of movie you want to watch ?<U>Basically i like to watch comedy movie .<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not my problem<PRAV>Family Jewel<A>Sir today there have a movie named Not my problem .<U>Has there any other comedy show today ?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewel<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic<A>sir , Family Jewel this is also comedy movie , but it is also romantic .<U>Okay what is the show time schedule for ""Not my problem"" ?<PN>find_theaters<PAN>name.movie<PAV>Not my problem<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not my problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any"	[A]Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pm	dlg-507554af-ad97-4604-8f07-53ff03d53bd1
<U>yeah, bad boys for life<C><U>hey, I want to buy movie tickets<A>great, do you know what you want to see?	[A]What day would you like attend?	dlg-6b60c92a-04df-4019-a0c8-44209fd9c8dd
<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm The 9:10pm showing please.<C><U>Hey! I'd like to purchase some tickets for a movie showing at AMC Mountain 16 tonight!<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>It's in Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>Ummm. I mentioned AMC Mountain 16 earlier.<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>I'm really in a hurry, I'll need tickets as soon as possible.<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What's showing at AMC mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>I'd like to see No Time TO Die.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die	[A]Got it. And how many tickets?	dlg-96d76f01-7a6c-4d69-82fa-3d43142980fa
<U>mmm<C><S><A>Hello. How can I help you?<U>i want to book a film, which is about the death - thriller movie wreleased recently<PN>find_movies<PAN>name.genre<PAV>thriller<PAN>description.other<PAV>about the death - thriller movie wreleased recently<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>yes that only<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>SF,California<PN>resolve_location<PAN>location<PAV>SF,California<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>yeah man<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>may i know available timings in AMC Mountain 16<A>OK. Let me showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-057a97ca-57ce-4060-95d3-02a793f997cb
<U>None in particular. What do you have?<C><U>I would like to purchase tickets for a movie currently showing in theaters.<A>Okay,what movies do are you looking out for?	[A]We have several movies to choose from.	dlg-be3d7c74-0958-486b-9f86-adc559bcb6b6
<U>Yes.<C><U>I want to buy movie tickets for tonight at AMC Mountain 16.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>I already said AMC Mountain in my previous response.<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>I will like you to speed things up for me in this process.<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What is paying at AMC Mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>I prefer 'No Time To Die'<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm 9:10pm.<A>Got it. And how many tickets?<U>Me, my husband and my son.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-2ed9fab0-df3e-4d7f-803c-dbfc5bb7c86a
<U>yes, i need to talk to someone first<C><U>hey, I want to buy movie tickets<A>okay, would you like a list of potential movies?<U>no, we want to bad boys for life<PN>find_theaters<PAN>name.movie<PAV>bad boys for life<PR>find_theaters<PRAN>name.theater<PRAV>amc jersery gardens<PRAV>amc aviation<A>great, bad boys for life is play in amc jersery gardens and amc aviation<U>book a ticket for amc jersey gardens<PN>find_showtimes<PAN>name.movie<PAV>bad boys for life<PAN>name.theater<PAV>amc jersery gardens<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>5:30 pm<PRAV>6:45 pm<A>bad boys for life is playing at 5:30 pm and 6:45 pm<U>ok, book the 6:45 pm show<A>how many tickets are you purchasing<U>two<A>great, please confirm two tickets to see bad boys for life at the amc jersey gardens at 6:45 pm<U>hold on...<A>sorry, do you want to place this booking on hold	[A]I will place the purchase on hol	dlg-3e26120b-bbc0-44f0-8f37-a89742c96359
"<U>Yes.<C><U>I need two tickets for Mulan.<A>Do you mean you want to buy three tickets to the movie ""Mulan""?<U>No, two tickets.<A>I understand, you want to purchase two tickets to the movie ""Mulan""?<U>Yes, at the Mountain AMC.<A>Adult tickets?"	"[A]So you want me to see if the Mountain AMC 16 has two adult tickets available for the movie ""Milan""?"	dlg-9886c678-dbea-44d3-8b73-982c967e306c
<U>OK.<C><U>I am looking to see if the sequel to the Shining is playing in Omaha, Nebraska.<PN>resolve_movie<PAN>name.movie<PAV>The sequel to The Shining<PR>resolve_movie<PRAN>name.movie<PRAV>Doctor Sleep<A>Happy to help! Let me just confirm that the movie you're talking about is Doctor Sleep. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Doctor Sleep<PAN>location<PAV>Omaha, Nebraska<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Doctor Sleep is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Omaha, Nebraska.<U>There is another movie that I just can't remember the name. It's that movie with wrestler John Cena and Keegan-Michael Key.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>That movie with wrestler John Cena and Keegan-Michael Key<PR>resolve_movie<PRAN>name.movie<PRAV>Playing with Fire<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Playing with Fire. Are either of those the one you want?<U>Yes! Playing with Fire, that's the one!<A>Great let me check theaters.	[PN]find_theaters[PAN]name.movie[PAV]Playing with Fire[PAN]location[PAV]Omaha, Nebraska	dlg-3358c27a-2692-4b7f-a5be-33a5358ee080
<U>That’s right.<C><U>I'm interested in a few movies in Tampa Florida. There was this on horror/war flick I've heard a little about.<PN>resolve_movie<PAN>name.movie<PAV>That horror/war flick<PR>resolve_movie<PRAN>name.movie<PRAV>Ghosts Of War<A>Happy to help! Let me just confirm that the movie you're talking about is Ghosts Of War. Is that right?	[PN]find_theaters[PAN]name.movie[PAV]Ghosts Of War[PAN]location[PAV]Tampa, Florida	dlg-77ccc7b1-40de-45f1-921f-53e83ddc4abe
<U>No, that’s all good.<C><U>I was thinking of seeing a movie tonight.<A>OK. And where will you be seeing the movie?<U>At the theater near me.<A>OK. Can you give me the city and state?<U>Oh, right. Creek’s End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I think there’s a new James Bond movie out maybe.<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>Yes! That’s the one!<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>Yeah, the second theater works.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK, AMC Mercado 24 it is.<U>What time is it playing?<A>It looks like tonight’s remaining showtimes for No Time To Die at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>Let’s go with the first one.<A>OK, so you'd like 5:00pm. And how many tickets?<U>It’s me and my friend and my cousin.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>Yes.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, please.<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-f51ee76a-6b41-4c63-9c5f-a67fe64ca275
"<U>I think that will do for now.<C><U>Please book me two tickets for the movie Possession.<A>Certainly, When would you like the tickets for?<U>Today at roughly 4pm.<PN>find_showtimes<PAN>name.movie<PAV>Possession<PAN>date.showing<PAV>Today<PAN>time.preference<PAV>roughly 4pm<PR>find_showtimes<PRAN>time.showing<PRAV>3:00<PRAV>6:10<PRAV>8:30<A>We have a listing for between 3:00, 6:10 and 8:30. Which would you like?<U>The one for 6:10 sounds good to me.<PN>find_showtimes<PAN>name.movie<PAV>Possession<PAN>date.showing<PAV>Today<PAN>time.preference<PAV>roughly 4pm<PR>find_showtimes<PRAN>time.showing<PRAV>4:00<PRAV>6:10<PRAV>8:30<A>Sorry my mistake, the play times are between 4:00, 6:10 and 8:30. Would you still like the 6:10 playtime?<U>Maybe, I just have one more question.<A>Not a problem, what can I assist you with?<U>Are there any other theaters playing The Possession?<PN>find_theaters<PAN>name.movie<PAV>Possession<PR>find_theaters<PRAN>name.theater<PRAV>Northgate Cinemas 12<PN>find_showtimes<PAN>name.theater<PAV>Northgate Cinemas 12<PAN>name.movie<PAV>Possession<PAN>date.showing<PAV>Today<PR>find_showtimes<PRAN>time.showing<PRAV>6:00<PRAV>8:10<PRAV>10:25 pm<A>Northgate Cinemas 12 has play times for ""The Possession"" at 6:00, 8:10 and 10:25 pm.<U>That's OK I will stick with the original theater. That's Cima Ultraplex 20 right?<A>Yes, would you still like the 6:10 play time?<U>Yes please, thank you.<A>No problem just give me a second here.<U>OK<PN>book_tickets<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Cima Ultraplex 20<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>6:10<PAN>date.showing<PAV>Today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Alright, You are all set. Two tickets today for the 6:10 PM playtime of the movie ""The Possession"" at Cima Ultraplex 20. You should have a confirmation e-mail link sent to you for further details. Is there anything else I can help you with?"	[A]If you need anything else let me know.	dlg-1956af75-fb45-454b-8642-69057192d2f1
<U>7:30pm works best for me.<C><U>Get me tickets.<A>What movie do you want to see?<U>I'm not sure.<A>What do you want to know?<U>What score does Shuttered have on Rotten Tomatoes.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>61% rating on Rotten Tomatoes<A>It has a 61% rating on Rotten Tomatoes.<U>And what about Backcountry?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>91% rating on Rotten Tomatoes<A>It has a 91% rating on Rotten Tomatoes.<U>I'll go with Backcountry.<A>What theater would you like?<U>I'll pick Cinemark Downtown.<A>What showtime would you like for today?	[A]How many tickets would you like?	dlg-88a4f326-4512-417b-9e0b-cd89ea0c7152
<U>Yes, we should go ahead and book them.<C><U>Good afternoon. I would like to see the movie Dolittle today.<A>How many people will be in your group?<U>There will just be two of us.<A>Is there a time that you would prefer?<U>We would like a 5:00 showing if that will work.<A>What is the location you would like to see the movie?<U>We are in Austin, and would like something close.<A>What type of screening would you like?<U>We would like to see it in IMAX.<PN>check_tickets<PAN>name.movie<PAV>Dolittle<PAN>num.tickets<PAV>two<PAN>time.preference<PAV>5:00<PAN>date.showing<PAV>today<PR>check_tickets<PRAN>status<PRAV>available<PN>check_tickets<PAN>name.movie<PAV>Dolittle<PAN>num.tickets<PAV>2<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5:00<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>I have found 2 seats in Austin Texas at the IMAX at 5:00. Would you like to book those tickets.<U>No, we have changed our mind on the time. We would like 6:00 please.<PN>check_tickets<PAN>name.movie<PAV>Dolittle<PAN>num.tickets<PAV>two<PAN>time.preference<PAV>6:00<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Looking for 2 seats in Austin at 6:00 for Dolittle. And have found 2 for 6:00.<U>We would like to book those tickets please.<A>Where would you like your seats?<U>We would like them to be in the middle some place, but together for sure.<A>Okay, I have found two seats in the middle section. Would you like to book them?	[PN]book_tickets[PAN]name.movie[PAV]Dolittle[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]6:00[PAN]date.showing[PAV]today[PAN]seating[PAV]two seats in the middle section	dlg-9ae4b39b-3774-46ba-b21c-789feab2c9dd
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<C><U>Hello, I am searching for movies with good critics reviews, can you help?<A>Yes, I can, what area are you in?<U>Spring Hills Kansas.<PN>find_movies<PAN>review.critic<PAV>good critics reviews<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic	[A]Ok, let me search.... Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% and Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81%	dlg-c1c55821-db7a-48f2-a40b-46843f330479
<U>Can you please tell me what theaters are running these movies and what time slots are available?<C><U>I want to book movie tickets.<A>OK Sir, which movie are you interested in?<U>I'll go for some comedy movie. I see in the movie guide 2 comedy movies are currently showing at the theater. Not My Problem, and the other one is Family Jewels. Can you please tell me which one is more popular?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>family comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>Audiences are appreciating both movies<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>Audiences are appreciating both movies<A>Sir, one is general comedy and other one is family comedy. Audiences are appreciating both movies.	[PN]find_theaters[PAN]name.movie[PAV]Not My Problem[PAN]location[PAV]nearby	dlg-446f2852-6adb-4e25-b5e2-4a0587884fdd
<U>What are the available times around nighttime for tomorrow?<C><U>Hi, i would like to buy tickets to see frozen 2 or midway at the movie theatre.<A>Which theatre would you like to go to?<U>I would like to go to a regal in denver colorado.<A>According to my search, the closest one is Regal UA Denver Pavilions & RPX.<U>What is the address of this Regal?<A>The address is 500 16th St Mall #310, Denver, CO 80202.	[PN]check_tickets[PAN]name.movie[PAV]midway[PAN]name.theater[PAV]Regal UA Denver Pavilions & RPX[PAN]time.preference[PAV]around nighttime[PAN]date.showing[PAV]tomorrow	dlg-6dc70c5f-e47f-45f6-83d5-7d4c439e472f
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hi, please order movie tickets.<A>Ok, for what movie?<U>Little Women<A>Ok, which theater?<U>Actually, I changed my mind. Order tickets for Frozen 2 instead.<A>Sure. What theater do you want to go to?<U>AMC Webster<PN>find_showtimes<PAN>name.movie<PAV>Frozen 2<PAN>name.theater<PAV>AMC Webster<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PRAV>8pm<A>Okay, what showing 7pm, or 8pm?<U>7pm please.<A>Is standard screen acceptable?<U>Yes<A>Alright. How many tickets do you need?<U>2 tickets please<A>Ok, should I order two tickets for the 7pm show of Frozen 2 at AMC Webster?<U>Yes!<PN>book_tickets<PAN>name.movie<PAV>Frozen 2<PAN>name.theater<PAV>AMC Webster<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>7pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Ok, they are ordered.	dlg-fa8c02e6-ec84-4295-b8a1-a083e9539b79
<U>Hi, I'm looking to get tickets for a movie tonight.	[A]OK. Can you tell me the city and state where the theater is located?	dlg-4eab41d8-a532-458a-9e23-29cf45510011
