<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<C><U>Let's book some movie tickets, please.<A>Okay! I have your location as Spring Hills, Kansas. Is this correct?<U>Yep, that's right.<A>Very good. Did you have a movie in mind, or did you want to go through options?<U>Let's go through the most kiddie-friendly options.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>description.other<PAV>most kiddie-friendly options<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]name.person	dlg-2d96d97c-bb7f-47b5-82ef-7f30943bc79a
<U>I wanna see something at AMC Mountain 16	[A]No problem. Is there a particular type of movie you’re looking for?	dlg-7b2074aa-265b-4e57-8437-c9ce03be22ca
<U>Call Tim and Jenny to cancel our movie night for tomorrow.<C><U>Ok, what movies are playing at the Kingman 4 tomorrow night?<PN>find_movies<PAN>name.theater<PAV>Kingman 4<PR>find_movies<PRAN>name.movie<PRAV>Harley Quinn<PRAV>Doolittle<PRAV>Gretel and Hansel<A>According to Fandango, Harley Quinn, Doolittle, and Gretel and Hansel are playing.<U>What are the showtimes for Dolittle?<PN>find_showtimes<PAN>name.movie<PAV>Doolittle<PAN>name.theater<PAV>Kingman 4<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>night<PR>find_showtimes<PRAN>time.showing<PRAV>4:20 p.m<PRAV>7 p.m<A>The showtimes for Dolittle at the Kingman 4 theater tomorrow night or 4:20 p.m. and 7 p.m.<U>Those times won't work, what about times for Gretel and Hansel.<PN>find_showtimes<PAN>name.movie<PAV>Gretel and Hansel<PAN>name.theater<PAV>Kingman 4<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>night<PR>find_showtimes<PRAN>time.showing<PRAV>5:05 p.m<PRAV>7 p.m<A>The times for Gretel and Hansel tomorrow night at the Kingman 4 theater are 5:05 p.m. and 7 p.m.<U>Those times won't work either. What other theaters are close to Kingman?<PN>find_theaters<PAN>location<PAV>close to Kingman?<PR>find_theaters<PRAN>name.theater<PRAV>Laughlin Stadium 9 Cinema<A>Laughlin Stadium 9 Cinema is the next closest theater to Kingman.<U>Great that's not too far. What movies are playing there tomorrow night?<PN>find_movies<PAN>name.theater<PAV>Laughlin Stadium 9 Cinema<PR>find_movies<PRAN>name.movie<PRAV>Gretel and Hansel<PRAV>bad boys for Life<PRAV>Dolittle<PRAV>Star Wars<PRAV>Jumanji<A>Movies playing at the Laughlin 9 Cinema tomorrow night are Gretel and Hansel, bad boys for Life, Doolittle, Star Wars, and Jumanji.<U>What are the times for Gretel and Hansel tomorrow night at the Laughlin 9 cinema?<PN>find_showtimes<PAN>name.movie<PAV>Gretel and Hansel<PAN>name.theater<PAV>Laughlin Stadium 9 Cinema<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>night<PR>find_showtimes<PRAN>time.showing<PRAV>5:30<PRAV>7:30<A>Tomorrow night, Gretel and Hansel will be playing at 5:30 and 7:30.<U>These times will not work either. Are there any theatres around Kingman playing Gretel and Hansel later than 8 PM tomorrow night?<PN>find_theaters<PAN>location<PAV>around Kingman<PAN>name.movie<PAV>Gretel and Hansel<PR>find_theaters<PRAN>name.theater<PRAV>Las Vegas 8<A>The closest Theatre playing Gretel and Hansel tomorrow night after 8 PM is the Las Vegas 8 theater in Las Vegas.<U>What are the times for Gretel and Hansel tomorrow night at the Las Vegas 8 theater?<PN>find_showtimes<PAN>name.movie<PAV>Gretel and Hansel<PAN>name.theater<PAV>Las Vegas 8<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>night<PR>find_showtimes<PRAN>time.showing<PRAV>5:30 PM<PRAV>8:30 PM<A>The show times for Gretel and Hansel tomorrow night at the Las Vegas 8 theater are 5:30 PM and 8:30 PM.<U>That would work, but I don't want to drive 100 miles to see a movie. Cancel all three ticket purchases for tomorrow night.<A>Cancelling ticket purchases.	[A]Calling Tim and Jenny.	dlg-076ca2d4-1359-4506-9b6b-33297431624f
<U>what are the showtime?<C><U>Hello I want to go and see the new Jumanji movie<A>you said you want to see the new Jumanji?<U>yes that is correct and I want to see it around 11am if possible<A>searching local theaters......<U>ok I usually prefer AMC theatres<A>found 1 Rave cinemas showing AMC<U>I wanted to see Jumanji at the AMC is that what you meant<PN>find_showtimes<PAN>name.theater<PAV>AMC<PAN>name.movie<PAV>Jumanji<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 11am<PR>find_showtimes<PRAN>time.showing<PRAV>10:30 AM<PRAV>12:05<A>Jumanji showing at 10:30 AM at the AMC in Bridgeport<U>Do they have any later times<A>I see a 12:05 also showing<U>is that all of my options?<A>are you willing to change the date of the showing?<U>no I really want to see it today if possible<A>can we go a few miles further away?<U>I can travel a little bit yes<A>I am searching.....<U>ok thanks<PN>find_theaters<PAN>name.movie<PAV>Jumanji<PR>find_theaters<PRAN>name.theater<PRAV>Cincinnati<PRAV>Springdale<A>I did locate Jumanji showing in Cincinnati or Springdale	[PN]find_showtimes[PAN]name.movie[PAV]Jumanji[PAN]name.theater[PAV]Cincinnati[PAN]date.showing[PAV]today[PAN]time.preference[PAV]around 11am	dlg-3cbb439b-5a80-4c07-89f2-d8c376f394a5
<PR>find_movies<PRAN>name.movie<PRAV>like,IP man the legend is born,forbidden<PRAV>born,forbidden kingdom,the<PRAV>kingdom,the warrior,legendary<PRAV>warrior,legendary assassin<C><U>Hello my friend and how is everything today?.<A>Very fine,Thank you.<U>so today at night we are planing to attend a movie after work with my four best friends.<A>I see,it is so nice to have catch up with friends.<U>No,you see we are usually on the same Karate class so we decided today to go watch a karate or martial related movie.<A>That is good,so you guys what do you have in mind if i may ask.<U>I am the one making the decision on what to watch,i want a nice kung fu movie that is why i decided we should consider watching Bruce lee movie;enter the dragon.<PN>get_movie_attribute<PAN>name.movie<PAV>movie;enter the dragon<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>highly rated<A>Bruce lee is a legend my friend and that movie is still in public domain and highly rated.<U>Yes plus it is showing on our town theater greenville on IMAX screen my favorite one,i cannot wait to watch it.<PN>find_movies<PAN>description.other<PAV>karate or martial related movie<PAN>location<PAV>nearby	[A]Yeah i can see that,but you do realize that there are other nice martial movies,latest one like,IP man the legend is born,forbidden kingdom,the warrior,legendary assassin and many more.	dlg-692c00f5-6676-4b2d-bb55-82a5840b32cf
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<C><U>Hi, I don't know what I want to see yet but I'll like to go to a show<A>Sure, what is your location?<U>Spring Hills, Kansas<A>How many tickets do you want?<U>One<A>Would you like to know what's playing?<U>Yes<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond the Storm<PRAV>Backcountry<A>Not My Problem, Family Jewels, Shuttered, Beyond the Storm, and Backcountry<U>Tell me about Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Can you give me some info on Backcountry?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic	[PN]get_movie_attribute[PAN]name.movie[PAV]Backcountry[PAN]attribute[PAV]description.plot	dlg-a3015e66-4611-4c4b-ab84-6dca844c2ef3
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I’d like to see a movie tonight<A>OK. And in what city?<U>I’m in Creek’s End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Not really. I’ve heard good things about Mulan.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>I’d like AMC Mercado 24. It’s a lot closer to my home.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>5:00pm works for me<A>Great. And how many tickets?<U>I’m sorry. What theater was this again?<A>Sure, you chose AMC Mercado 24.<U>Thank you! And what time is the movie?<A>For the showtime you said you preferred 5:00pm.<U>I’m sorry. I have a lot going on here. What did you ask last?<A>I was just asking you how many tickets you'll need.<U>That’s right. Three please.<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>Yes. Thanks.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, it is.<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-43c70279-672f-457f-af80-273ce96491d0
<U>Is the movie out?<C><U>I would like to see the movie Mulan<A>I can help you with that.<U>OK great!<A>Where would you like to see the movie?<U>In Stoneyford Oregon please<A>In what theater?<U>check these please Mountain AMC 16 and Holiday Cinemark 12.<A>OK let me check for you.<U>OK I will wait<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Stoneyford Oregon<PR>find_theaters<PRAN>name.theater<PRAV>Mountain AMC 16<PRAV>Holiday Cinemark 12<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>empty<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>Holiday Cinemark 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>I was not able to find any times for that movie.<U>Odd why not?<A>both of the theaters are temporarily closed<U>really?<A>Yes due to the pandemic all theaters are closed.<U>When will they open again?<A>I do not have that information at his time.	[A]the release dates of both movies have been postponed until the fall.	dlg-bd80f025-f38e-41ad-a153-7220a16d66df
<PR>find_showtimes<PRAN>time.showing<PRAV>8:40pm<PRAV>10:40pm<C><U>Hello I want movie tickets for tonight.<A>Okay for how many.<U>It is my wife and I so 2 please.<A>Great. I see you are in Lands end montana.<U>Yes so the legacy monument family 12 theater for today.<A>Great. Which movie<U>Sam’s delight but what else is playing.<A>let me look for you.<U>great thanks.<PN>find_movies<PAN>location<PAV>Lands end montana<PAN>name.theater<PAV>legacy monument family 12 theater<PR>find_movies<PRAN>name.movie<PRAV>Far From You<PN>find_showtimes<PAN>name.movie<PAV>Far From You<PAN>name.theater<PAV>legacy monument family 12 theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight	[A]Far From You showtimes are: 8:40pm and 10:40pm	dlg-7e13a01b-d510-443b-a18f-28169190e0bc
<U>Choose the earliest one, 5:00pm<C><U>Hey. I want to watch movie tonight.<A>OK. And where will you be seeing the movie?<U>I prefere Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I want to go for Mulan, which is about kids.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>For me AMC Mercado is the closest. So, I would go for that.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?	[A]Great. And how many tickets?	dlg-6dfc8270-4d1d-4a89-bfcf-e187a50dbb6c
<U>Ok is there any other movies available with this kind of categories<C><U>Hello can you help me?<A>Yes with pleasure what is your query? also provide your Email Id booking process<U>Kindly provide me the movie details and the theater details also the timing details as i need a movie tickets , xXXX@gmail.com<A>Yes,What kind of film you are looking for like comedy, romantic comedy, horror or documentary<U>Mm i am looking for comedy and romantic comedy categories is there anything of that kind available now<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PN>find_movies<PAN>name.genre<PAV>romantic comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp.Movie2:<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Yes, Movie1: Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.Movie2: Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds<U>Ok Movie timing details please<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pmFamily<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<A>Yeah,Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pmFamily Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pm	[A]No, Other movies are in horror and documentary basis	dlg-5dc03391-1409-4211-a048-63dd492aaceb
<U>which showtimes are there?<C><U>hey there what movies are playing?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Harley Quinn,Sonic,Frozen<A>Harley Quinn,Sonic,Frozen<U>I would like to see Sonic<A>which theater are you going to?<U>the AMC in Arlington<A>what time do you want to see the film?	[PN]find_showtimes[PAN]name.movie[PAV]Sonic[PAN]name.theater[PAV]AMC[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-3288dfc1-9737-4f16-9d2c-baf5b8cecdec
<U>OK thanks<C><U>I would like to see the movie DoLittle<A>I can help you with that.<U>Great!<A>What location would like to see the movie?<U>Raleigh<A>What time ?<U>7:00 PM<A>I have located the move DoLittle at 7:00 PM in Raleigh . Would you like to book tickets?<U>Yes two tickets please!<A>May I have the credit car number for purchase?<U>Oh wait! Can I change the time please. Is 8:00 PM available ?<A>Let me check for you.	[PN]find_showtimes[PAN]name.movie[PAV]DoLittle[PAN]date.showing[PAV]today[PAN]time.preference[PAV]8:00 PM	dlg-4f765dfa-bb89-4685-8dc4-894b1b132cf9
<U>How about Doctor Doolittle?<C><U>Hi, Can you purchase some tickets on my behalf?<A>Of course, which event interests you?<U>Movies.<A>OK, which movie?	[A]sure, do you know where you'd like to go?	dlg-6e3a4fb8-3988-4eff-b9c3-d057a8bfa8bd
<U>2<C><U>I would like to buy tickets to see a movie today<A>Where would you like to see a movie?<U>AMC in Bloomsburg<A>Which movie would you like to see?<U>Dolittle<A>Time Please?<U>4:30<A>How many tickets would you like to purchase today?	[A]You would like 2 tickets to see Dolittle at 4:30 at the Bloomsburg AMC today, correct?	dlg-e50686cb-c624-4425-b2a2-6d17d4c6ac1b
<U>Which movies are at Cinema Village tonight?<C><U>Hi. Which movie theaters are in 10003?<PN>find_theaters<PAN>location<PAV>10003<PR>find_theaters<PRAN>name.theater<PRAV>AMC Village<PRAV>Cinema Village<PRAV>Village East Cinema<A>AMC Village. Cinema Village. Village East Cinema.	[PN]find_movies[PAN]name.theater[PAV]Cinema Village	dlg-97224212-687e-4bbb-9e62-7f90f92134a7
<U>Just my date and I, so 2 tickets.<C><U>Hey there! Can you help me book a ticket for a date I have later?<A>Ooo that is nice. Yes I can help. What movie do you want to see?<U>Bad Boys for Life<A>Oh that movie was reviewed really well. How many people will be going?	[A]Okay and is there a theater you have in mind?	dlg-3d154362-1a30-42a7-809e-5e46bdd6c47a
<U>Actually, i am so sorry, the 5:40 pm showtime will not work for us, can we book for the the 7pm XD viewing for 3 seats.<C><U>Hello, i am wanting to know the showtimes for the movies Onward, for 03/14/2020.<A>Great! I can help with that for what location? and do you have a prefer viewing?<U>oh! so sorry, i would like the showtimes for Cinemark 18 and XD, standard or XD viewings are fine with me, thank you.<A>Thank you for the information, do you have preferred time? late morning, afternoon, or night time?<U>afternoon and late evening is fine, thank you.<PN>find_showtimes<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>Cinemark 18<PAN>date.showing<PAV>03/14/2020<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>12:05 pm<PRAV>10:35 pm<PRAV>5:40 pm<PRAV>7:50 pm<PN>find_showtimes<PAN>name.movie<PAV>Onward<PAN>name.theater<PAV>Cinemark 18<PAN>date.showing<PAV>03/14/2020<PAN>type.screening<PAV>XD<PAN>time.preference<PAV>late morning<PR>find_showtimes<PRAN>time.showing<PRAV>1:20 pm<PRAV>9:50pm<PRAV>4:10pm<PRAV>7pm<A>For the movie onward, showtimes for standard viewing are: i have times starting from 12:05 pm to 10:35 pm and for XD showtimes i have from : 1:20 pm to 9:50pm<U>great! lots of times to pick from, any showtimes between 5pm to 7pm? either viewings.<A>Yes, for standard viewing i have 5:40 pm, 7:50 pm and for the XD viewing i have 4:10pm and 7pm. will any of this showtimes work for you? would you like earlier showtimes for either viewings?<U>There are no showtimes for the 6 pm hour?<A>unfortunately, the only showtimes i have available are either in the 5 pm or in the 7pm show times. Is there another work that could possibly work better?<U>No, thank you i am thinking that the 5:40pm standard viewing could work.<A>great! how many seats?<U>lets book for the 5:40pm showtime standard time for 3 seats, thank you.<A>booking for the 5:40 pm showtime for 3 seats.	[A]no problem, canceling previous reservation and now booking for the XD viewing for the 7pm showtime, 3 seats?	dlg-d1510466-8d51-4471-8ef8-b6f4e8c365c9
<PR>book_tickets<PRAN>status<PRAV>success<C><U>i like to watch the movie tonight<A>OK. Do you have anything in mind?<U>not at all<A>Sure. And what city are you looking in?<U>near to Brando, texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>can you give few titles of the movie<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>yes my friends say about the movie Stella's house its interesting.. and who is the director of the movie<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>he has very good creativity.. in which theater shows this movie and also tell me show times<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>sorry i have important work tonight sorry actually i for get that and date change to tomorrow<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?<U>can you say lastest thing<A>Sure. The last showing is 9:30pm.<U>i choose 9:30 pm show<A>All right. Let me confirm. You’d like 4 tickets for the 9:30pm showing of Stella’s House at Milford Theater tomorrow. Is that all correct?<U>sure<A>Is it OK to go ahead and purchase these tickets?<U>its really too good<PN>book_tickets<PAN>name.movie<PAV>Stella’s House<PAN>name.theater<PAV>Milford Theater<PAN>time.showing<PAV>9:30pm<PAN>num.tickets<PAV>4<PAN>date.showing<PAV>tomorrow	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-265499d7-9f36-44a8-a07a-7e3d392d4a28
