<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>No, thanks so much.<C><U>I would like to see a movie.<A>OK.Do you have anything in mind?<U>I had a very busy day, I need to get it off my mind, so I'd like to see an action movie.<A>Sure. And what city are you looking in?<U>I'm in Santa Barbara, California.<PN>find_movies<PAN>location<PAV>Santa Barbara, California<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mad Max<A>It looks like there are two action movies playing in that area at the moment: No Time To Die and Mad Max<U>Oh, wow, Mad Max? Is it the original movie?<PN>get_movie_attribute<PAN>attribute<PAV>date.release<PAN>name.movie<PAV>Mad Max<PR>get_movie_attribute<PRAN>date.release<PRAV>October 12, 1979<A>The release date for Mad Max was October 12, 1979.<U>Yes, that's awesome, it's the original.<A>That’s great.<U>Where is it playing? And at what time?<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>Mad Max<PR>find_theaters<PRAN>name.theater<PRAV>State Street Theater<PN>find_showtimes<PAN>name.movie<PAV>Mad Max<PAN>date.showing<PAV>today<PAN>name.theater<PAV>State Street Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Mad Max is playing at State Street Theater in Santa Barbara, California. Showtimes are 4:40pm, 7:10pm, and 9:30pm.<U>9:30pm works. What other information do you need prior to purchasing?<A>OK. So far you’ve decided on the 9:30pm showing of Mad Max at State Street Theater today. I just need the number of tickets and then we can make the purchase.<U>Myself, and my two colleagues.<A>All right. Let me confirm one last time. You’d like three tickets for the 9:30pm showing of Mad Max at State Street Theater today. Is that all correct?<U>That's right.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, please do!<PN>book_tickets<PAN>name.movie<PAV>Mad Max<PAN>name.theater<PAV>State Street Theater<PAN>time.showing<PAV>9:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>today<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-dff0ea9d-2e3d-4efa-bd6c-ebbf044c8616
<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<C><U>My family and I would like to see a movie tonight in Spring Hills, Kansas. Can you show me what is playing?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond the Storm<PRAV>Backcountry<A>Excellent. Here are some of the top movies for that area. Not My Problem, Family Jewels, Shuttered, Beyond the Storm, Backcountry.<U>What can you tell me about Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]rating.movie	dlg-731fa2c2-b05f-4765-bd0b-44ede6fa5fec
<U>I do but i will prefere comedy<C><U>Yes, I will like to book for a movie<A>ok, Do you have a particular movie in mind or should i give you the list of movies showing and dates?<U>Thank, please tell me the movies available<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>,5:00pm<PRAV>8:10pm<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romatic comedy<A>we have a romatic comedy titled Family Jewels showing at AMC Holiday Theater by 2:00pm ,5:00pm and 8:10pm<U>okay I have seen that trailer about a famous diamond dealer.<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a famous diamond dealer<A>yes<U>which other one is showing<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>find_theaters<PAN>name.movie<PAV>Shuttered<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45,9:00pm<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm,3:55pm,7pm,10:05pm<A>we also have Shuttered an Horror and Not My Problem a funny Comedy showing by 3:00pm, 5:45,9:00pm and 1pm,3:55pm,7pm,10:05pm respectively at the same AMC Holiday Theater<U>oh, that is nice I love comedy and I can compare Not My Problem to Family Jewels to see which will make me laugh the most<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<A>yes we also have Beyond The Storm an Action movie rated PG-13 if you love action movies	[A]ok, do you want to stick to that choice	dlg-1147cb29-ee4a-4040-9eb9-4344896a79b6
<U>Hi I'm looking for a theatre close by that is playing that movie with two female veterans who try and connect after postwar St. Petersburg.	[PN]resolve_movie[PAN]name.movie[PAV]the one with two femal veterans who try to reconnect after postwar St. Petersburg	dlg-ed69c60d-5e26-4ca7-81f8-063a0622adee
"<U>Just two.<C><U>Hello, can I get help with ordering movie tickets?<A>Sure thing what movie do you want to see?<U>Spies in Disguise<A>Spies in despise? Got it, what time did you want to see it?<U>No ""Spies in Disguise"" is the movie.<A>Oh so Spies in disguise got it, what time did you want to see it?<U>4 PM.<PN>find_showtimes<PAN>name.movie<PAV>Spies in Disguise<PAN>date.showing<PAV>today<PAN>time.preference<PAV>4 PM<PR>find_showtimes<PRAN>time.showing<PRAV>4 PM<A>4 PM got it, what theater?<U>Regal Crossgates & IMAX is the usual one I go to.<A>Ok let me see if the options are available...seems the movie is not avaible at that time here, the nearest theater is North Adams Movieplex 8 and has all current options is that alright?<U>Yeah thats fine.<A>Great and how many tickets did you want?"	[A]Ok got it and any special viewing ?	dlg-9dd49a4e-0337-42b9-9cc3-fc5681c654ab
<U>please check on my location too<C><U>Hi,<A>Hello. How can i help you ?<U>Iam here to book a tickets at cinemark down town at 6:10pm<A>let me check the availability<U>ok<PN>find_showtimes<PAN>name.theater<PAV>cinemark down town<PAN>date.showing<PAV>today<PAN>time.preference<PAV>6:10pm<PR>find_showtimes<PRAN>time.showing<PRAV>6:10pm<PN>check_tickets<PAN>name.theater<PAV>cinemark down town<PAN>num.tickets<PAV>one<PAN>time.showing<PAV>6:10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>sorry, unfortunately there are no more seat availability on 6:10pm at cinemark downtown	[A]please wait sir let me check in	dlg-283d8e21-b9f0-46bb-b5a0-e19f9b3a0f16
<U>that is a good time I can not pick between 2 or 3 PM<C><U>what movies are out?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Harley Quinn,Bad<PRAV>Quinn,Bad Boys,Frozen<A>Harley Quinn,Bad Boys,Frozen<U>I would like to see Bad Boys or Frozen,which is most recent<A>Bad Boys is the most recent.Which theater do you want to see it<U>I would like to see it at AMC,or probably Studio movie grill.<A>Both of those theaters show the film.<U>I guess AMC would be good,what are the showtimes.<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:00 PM<PRAV>2:00 PM<PRAV>3:00 PM<A>1:00 PM, 2:00 PM, 3:00 PM	[A]which time works best for you	dlg-cc0986f1-18d9-482f-a8ff-41aba678abce
<U>I'm not at all familiar with those first two movies you mentioned. What are they about?<C><U>I need to get tickets to see a movie for tonight.<A>Great! I can help you with that. Where do you want to see your movie at?<U>Well, I'm in Spring Hills, Kansas but as to the theater I haven't decided yet.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<A>Okay. There are two theaters in Spring Hills, Kansas, the AMC Holiday Theater and the Cinemark Downtown.<U>I know. What's playing at them?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Backcountry<A>The AMC Holiday Theater has Not My Problem, Family Jewels, and Shuttered showing. The Cinemark Downtown has Beyond the Storm and Backcountry.	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]description.plot	dlg-c79a29c9-bf18-4c7a-ad85-6e6f7a22ef05
<U>Tomorrow at 2pm.<C><U>I want to see a movie.<A>Which movie do you want to see?<U>The Gentlemen<A>When would you like to see The Gentlemen?	[PN]find_theaters[PAN]name.movie[PAV]The Gentlemen[PAN]location[PAV]nearby	dlg-58256bc5-1615-4e14-8dc6-842b4be115b2
"<PR>find_movies<PRAN>name.movie<PRAV>Moulin Rouge<PRAV>""The Heat""<PRAV>Up<PRAV>The Blind Side<PRAV>Forrest Gump<PRAV>Shawshank Redemption<C><U>Hey there! I'm in need of a good recommendation for movie night with my friends.<A>You looking for a comedy, romance, action, drama? Maybe horror?<U>Ok, definitely not horror. Not in the mood to feel disgusted. I think any other category would be fine. Looking for a fun night. Doesn't have to be all ""party girl"" kind of fun. Just something that we could all enjoy.<PN>find_movies<PAN>description.other<PAV>Looking for a fun night"	[PN]get_movie_attribute[PAN]name.movie[PAV]Moulin Rouge[PAN]attribute[PAV]name.genre	dlg-c8dcf557-0663-422c-aebf-e940e5c666a6
<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<C><U>Hello!<A>Hello there! Welcome to the Spring Hills Theater!\tHow's your day?<U>Good, good. How was yours?<A>Not bad, for a typical weekday!<U>Alright, Arsenalty!<A>Interesting... What would you like to watch from our choices?<U>I would say something Arsenal-tie like.<PN>find_movies<PAN>location<PAV>Spring Hills Theater!\tHow's<PAN>description.other<PAV>something Arsenal-tie<PR>find_movies<PRAN>name.movie<PRAV>Backcountry<PRAV>Not My Problem<A>I would say Backcountry or Not My Problem just might be your choice!<U>Seems Arsenal-tie -like!<A>Want me to show them Arsenal-tie-style, and the times?<U>Sure!<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.Backcountry<PN>find_theaters<PAN>location<PAV>Spring Hills Theater!\tHow's<PAN>name.movie<PAV>Backcountry<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown Theater<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.Backcountry showtimes: Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>And the other Arsenal-tie content?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp.Not<PN>find_theaters<PAN>location<PAV>Spring Hills Theater!\tHow's<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.Not My Problem showtimes: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pm	dlg-22a7fa38-b6f9-4526-9a10-cd49b8dc7a51
<U>Are there any good movies in theaters for today?	[A]Yeah - Where are you looking?	dlg-cb721def-73b1-4fbb-96c5-8b593bbcdd14
<U>We'd like to get some movie tickets but we're not sure what's playing.	[A]Okay. Do you have some theaters in mind?	dlg-9e6cbef4-37d3-4904-9f51-dca28ba5a3be
<U>Thank you, assistant. Could you summarize my order?<C><U>Could you tell me when Knives Out is playing at the Goodrich in Cadillac?<A>The movie Knives Out is playing on Friday at 1:00pm.<U>Is there another time it is available?<A>The film is playing Friday at 1pm and 4pm.<U>Well, how about the film The Good Liar? When does that play at the Goodrich in Cadillac??<A>The Good Liar is playing at 12:00 pm on Friday.<U>That is perfect. I want to take Sara with me.<A>Would you like me to purchase tickets for you?<U>Yes, I want two tickets, please.<A>I will purchase two tickets. Will 12:00pm be the time on Friday?<U>Yes, thank you. I need to know the cost as well.<A>The cost will be $20 for two tickets to The Good Liar.<U>That will work out perfectly for me. I don't care where we sit long as we get to see it.<A>I have noted you have no seating preference for the tickets. Would you like me to go ahead and order them for you?<U>Yes, please order me two tickets for The Good Liar at 12:00 pm on Friday.<PN>book_tickets<PAN>name.movie<PAV>The Good Liar<PAN>name.theater<PAV>Goodrich<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>12:00 pm<PAN>date.showing<PAV>Friday<PR>book_tickets<PRAN>status<PRAV>success<A>I have completed your order.	[A]Two tickets to The Good Liar on Friday at 12:00 pm at the Goodrich Theater in Cadillac.	dlg-393bc7d2-3599-49fa-8de7-0be5e35887c8
<U>Thank you.<C><U>Hi, can you help me order movie tickets?<A>Yes, I would be happy to do that for you.<U>We want to see the movie 1917.<A>OK, do you have a preference of theater?<U>No, not really, just anywhere in Mesa Arizona.<A>What time would you like to see the movie 1917?<U>7:00 PM tomorrow, Friday, night.<A>OK, let me check that out for you.<U>Thanks.<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>location<PAV>Mesa Arizona<PR>find_theaters<PRAN>name.theater<PRAV>The AMC superstition theater<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>AMC superstition Theatre<PAN>date.showing<PAV>Friday<PAN>time.preference<PAV>Friday, night<PR>find_showtimes<PRAN>time.showing<PRAV>6:45 PM<A>It looks like I have a 6:45 PM showing tomorrow night, At the AMC superstition Theatre. would that work for you?<U>Yes, that would be fine.<A>OK, how many tickets do you need?<U>I need six tickets for that showing please.<A>Very well, let’s confirm this purchase. You would like six tickets for the showing of 1917 tomorrow night at The AMC superstition theater. Is that correct?<U>Well, now that I think about it let’s only buy five tickets.<A>Very well, would you like me to proceed with five tickets for the theater, movie, and Showtime?<U>Yes, that would be great.<PN>book_tickets<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>The AMC superstition theater<PAN>num.tickets<PAV>five<PAN>time.showing<PAV>6:45 PM<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>OK, the transaction has completed and your receipt will be texted to you immediately.<U>Thank you, will the tickets be included?<A>Yes, your digital tickets will be included with the text.	[A]You are welcome.	dlg-53bf06a1-5cdb-464d-bb6e-7fd3c4a3d191
<PR>find_movies<PRAN>name.movie<PRAV>Forrest Gump<C><U>Hey assistant, I'd like to go see a movie tonight<A>Okay, what movie would you like to see?<U>What is playing at the old theater?<PN>find_movies<PAN>name.theater<PAV>old theater<PAN>location<PAV>nearby	[A]Right now, Forrest Gump is streaming at the old theater.	dlg-35c07162-91a3-4fe8-b1d7-55eb980cade3
<U>Could you tell me if Mulan is playing?<C><U>I want to get 2 tickets for a movie for me and my friend.<A>When are you going?<U>We'd like to go today/tonight if possible.<A>I can see if anything is available.<U>Great.<A>What city are you in?<U>My friend is with me in Hillview, Oregon. So any theater in the area.<PN>find_theaters<PAN>location<PAV>Hillview, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>Mountain AMC 16<A>Would Mountain AMC 16 be ok or would you like another location?<U>No, that is perfectly fine.<A>Would you like to hear what is playing?	[A]It is playing, would you like showtimes?	dlg-e497e188-99fc-4881-bfed-0e5d5e30a1f0
<U>Can you help me in picking a movie?	[A]I would be glad to. What kind of movie is your preference?	dlg-cab010ea-ddf7-44ad-aed2-ce348700ae11
<U>Yes, that's the one.<C><U>Hi, can you buy couple of movie ticket for me?<A>Sure thing, in which theater?<U>Somewhere close to downtown Tampa in Florida of course.<A>Alright let me see what I can find. There are a couple of theaters in Downtown area, do you have a preference in term of 3d or IMAX viewing?<U>IMAX would be great.<PN>find_theaters<PAN>location<PAV>downtown Tampa<PAN>type.screening<PAV>IMAX<PR>find_theaters<PRAN>name.theater<PRAV>IMAX theater<A>Okay, I found an IMAX theater in downtown Tampa. What movie would you like to see?<U>I want to see the new Star Wars movie.<PN>find_movies<PAN>type.screening<PAV>IMAX<PAN>location<PAV>downtown Tampa<PAN>name.theater<PAV>IMAX theater<PR>find_movies<PRAN>name.movie<PRAV>The Rise of Skywalker<A>The Rise of Skywalker right?	[A]Okay, How many tickets should I buy?	dlg-ebac53ad-24e7-43bd-ac7d-77f388beb737
<U>I dont need 5 tickets any more just 2<C><U>I would like to order tickets for a movie tomorrow<A>I can assist you with that<U>please let me know what you need<A>where would you like to see the movie<U>I want to see it in Boston<A>what movie would you like<U>I want to see 1917<A>what time would you like<U>I need it to be at 11:00 am<A>what screening type would you prefer<U>IMAX would be great<A>how many tickets will you need<U>I will need 5 in total<A>allow me to look for tickets for you<U>thank you for the help<PN>check_tickets<PAN>name.movie<PAV>1917<PAN>num.tickets<PAV>5<PAN>time.preference<PAV>11:00 am<PAN>date.showing<PAV>tomorrow<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>I have found tickets for you	[PN]check_tickets[PAN]name.movie[PAV]1917[PAN]num.tickets[PAV]2[PAN]time.preference[PAV]11:00 am[PAN]date.showing[PAV]tomorrow[PAN]seating[PAV]any	dlg-e8be54a0-aa83-4cfd-9369-435abc56cdf7
<U>After 9 PM if possible.<C><U>I want to get some movie tickets for tonight.<A>What movie are you interested in?<U>The Invisible Man<A>What theater?<U>AMC Oakbrook.<A>What showtime?	[A]Do you want to see it in IMAX?	dlg-f17247ea-7c68-4eca-bf27-11132dbb366d
<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<C><U>I would like to go see a movie tonight<A>Sure. What movie would you like to see?<U>What is playing at Boulevard 14 Cinema? In Petaluma, California.<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>OO Mulan. Can I hear more about that one?<A>Sure. What specifically would you like to know?<U>What is it about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>What kind of audience does it appeal to? and what do critics say?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>I think No Time To Die is more for me<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Boulevard 14 Cinema	[A]OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?	dlg-45e85a16-8437-4517-af47-c86885c96380
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd like to buy movie tickets for today.<A>Great, do you know what movie you're looking for?<U>I'm not sure. Are there any comedies playing near me? In Hillview, Washington.<PN>resolve_location<PAN>location<PAV>Hillview, Washington<PR>resolve_location<PRAN>location<PRAV>Hillview, Washington<PN>find_movies<PAN>name.genre<PAV>comedies<PAN>location<PAV>Hillview, Washington<PR>find_movies<PRAN>name.movie<PRAV>King Johnny<PRAV>Five Ways to Wacky<A>Yes, I'm finding showings for King Johnny and Five Ways to Wacky near you.<U>Cool. What movie theater are they playing at?<PN>find_theaters<PAN>location<PAV>Hillview, Washington<PAN>name.movie<PAV>King Johnny<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Hillview, Washington<PAN>name.movie<PAV>Five Ways to Wacky<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<A>King Johnny is playing at AMC Holiday Theater and Five Ways to Wacky is playing at Cinemark Downtown.<U>Okay, can you tell me more about King Johnny?<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 71%<A>Gladly. King Johnny is a rated R comedy with a Rotten Tomatoes score of 71%.<U>Cool, what are the showtimes for King Johnny?<PN>find_showtimes<PAN>name.movie<PAV>King Johnny<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00 p.m.<PRAV>5:45<PRAV>9:00 p.m<A>King Johnny is playing at 3:00 p.m., 5:45, 9:00 p.m.<U>Okay, can I get two tickets for 9?<A>Okay, let me just make sure... That's two tickets for King Johnny playing at the AMC Holiday Theater today at 9:00 p.m.?<U>Yup, That's right.<A>Okay, let me get that ready for you.<U>Thank you.<PN>book_tickets<PAN>name.movie<PAV>King Johnny<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>9:00 p.m<PAN>seating<PAV>any<PAN>date.showing<PAV>today	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-340d392f-0346-4b66-94b6-9a637ec47417
<U>Oh, lots of things. Comedies, action, some animated, sometimes horror.<C><U>Hey, can you hunt up a movie for me this weekend? I've heard a lot of good ones are out right now.<A>Sure, what kinds of movies do you like?	[A]Will you be bringing a guest?	dlg-5255f396-0332-4dd6-b0c7-5d9c952aad09
<PR>get_movie_attribute<PRAN>description.plot<PRAV>Two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him<C><U>Can you tell me what is playing at celebration cinema woodland tomorrow?<PN>find_movies<PAN>name.theater<PAV>celebration cinema<PAN>location<PAV>woodland<PR>find_movies<PRAN>name.movie<PRAV>onward<PRAV>birds of prey<PRAV>the invisible man<PRAV>sonic<PRAV>call of the wild<PRAV>fantasy island<A>Playing tomorrow at celebration cinema woodland is onward, birds of prey, the invisible man, sonic, call of the wild and fantasy island.<U>What is onward about?<PN>get_movie_attribute<PAN>name.movie<PAV>onward<PAN>attribute<PAV>description.plot	[A]Two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.	dlg-ec10e99d-c253-4d4e-ae8c-1ebd7bfceef1
<U>Village 8 Theatre would work!<C><U>I'll be out of town this weekend and would like to catch a movie.<A>Good Morning! What city will you be in?<U>Louisville, KY.<A>There are several theaters in that area. Did you have a preference?	[A]What movie would you like to see?	dlg-d346a2bd-fb12-4bd3-8092-d4a4bc85d370
<U>Where are they playing at?<C><U>Can I get a list of family friendly movies that are playing in theaters?<PN>find_movies<PAN>description.other<PAV>family friendly movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Dolittle<PRAV>Spies in Disguise<A>There's Dolittle and Spies in Disguise.	[PN]find_theaters[PAN]name.movie[PAV]Dolittle[PAN]location[PAV]nearby	dlg-f8c212f5-9368-4c9d-aaa5-f876d4d7a629
<U>1 ticket<C><U>hi i'd like to buy tickets for bad boys for life<A>how many tickets would you like?	[A]what city would you like to see that in?	dlg-71c9aac3-e1b0-4c9c-a011-558f14a37cbd
