"<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<C><U>Good morning! I think I would like to see a movie tomorrow.<A>Wonderful! I can certainly help with booking that for you.<U>The problem is I am not sure what I want to see. I am in the mood for either a romantic comedy or horror film.<PN>find_movies<PAN>name.genre<PAV>romantic comedy or horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>'Family Jewels'<PRAV>'Shuttered'<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist""<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 69%<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person"	"[A]There are movies showing in both those genres. 'Family Jewels' is a Romantic Comedy with a Rotten Tomatoes score of 69%. Synopsis of this movie is ""a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist"" It stars Melissa McCarthy and Ryan Reynolds."	dlg-7cf36373-91dd-4782-b548-d20522f007dd
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<C><S><A>Hello. How can I help you?<U>I want to see that new james bond movie.<PN>resolve_movie<PAN>name.movie<PAV>new james bond movie.<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes, that's right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>San Fran, CA please<PN>resolve_location<PAN>location<PAV>San Fran, CA<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Ok<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California	[A]OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?	dlg-64e70b68-4c43-4a26-803f-0366247b5064
<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<C><U>I would like to see a movie with my colleague and supervisor, but I am not sure what to see.<A>How many people will you need tickets for?<U>I will need 3 tickets.<A>What is your location?<U>I am located in Spring Hills, Kansas. What movies are playing in the theater near my location?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>10:05pmFamily Jewels:<PRAV>8:30pmBackcountry:<PRAV>Shuttered<PRAV>Beyond the Storm<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>10:05pmFamily Jewels:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>8:10pmShuttered:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>8:30pmBackcountry:<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pmFamily<PN>find_showtimes<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pmShuttered:<PN>find_showtimes<PAN>name.movie<PAV>8:10pmShuttered:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pmBeyond<PN>find_showtimes<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>6:10pm<PRAV>8:30pmBackcountry:<PN>find_showtimes<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>The following movies and times are playing in the theater near Spring Hills, Kansas: Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pmFamily Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pmShuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pmBeyond the Storm: Cinemark Downtown - 1:30pm - 3:40 - 6:10pm - 8:30pmBackcountry: Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>What is the movie Beyond the Storm about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond the Storm[PAN]attribute[PAV]name.person	dlg-28a4efaa-a9e5-4d09-bb65-2b67148b0fd1
<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>Hi<A>How may I help you?<U>I want to book a ticket<A>It is my pleasure to help you.Which movie you want to book?<U>Tell me the movie which is showing now in theater.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not my problem,Family<PRAV>problem,Family jewels,Shuttered,Beyond<PRAV>jewels,Shuttered,Beyond the storms<PRAV>back country<A>The movie which is running in theaters are Not my problem,Family jewels,Shuttered,Beyond the storms and back country.<U>That is great. I want to know the movie details and comparison of movies.Could you tell me the comparison of Shuttered and beyond the storms.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.Beyond<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storms<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storms<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storms<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storms<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storms<PAN>attribute<PAV>name.person	[A]Yes. I will. Shuttered is a Horror movie and the rated R Rotten Tomatoes 61% Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.Beyond The Storm is the Action movie It is rated PG-13 Rotten Tomatoes 81% Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board It is directed by James Cameron.	dlg-0afac6ad-4b3f-473a-9d79-3f529667788a
<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<C><U>I would like to purchase tickets for a movie currently showing in theaters.<A>Sure sir. How many tickets you want?<U>I need 3 tickets .<A>Sure sir. Which location and when?<U>Near by Spring Hills Kansas location for today<A>Sure sir. Which type movies you want sir like comedy, horror, action, romantic comedy, documentary etc..<U>I would like comedy movie.<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<A>ok sir. Not My Problem movies is going on now<U>Which theater sir?<PN>find_theaters<PAN>location<PAV>Near by Spring Hills Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holidays<A>In AMC Holidays theater sir<U>Ok. What is the show time sir?<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holidays<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3.30pm<PRAV>7pm<PRAV>10.05pm<A>There are 4 timing available 1pm, 3.30pm, 7pm, 10.05pm<U>Ok sir . Please check ticket available at 3.30pm show<A>Ok sir. There are 45 tickets available sir.<U>Ok please confirm 3 tickets<A>Sure sir.<U>Who all are played main role in this movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]name.person	dlg-c160a301-34a5-4b49-9354-826eb59c308d
<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a fishing escapade in the North Sea that gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<C><U>I need 2 tickets to see a movie.<A>Tonight?<U>No, for this coming Saturday.<A>For what movie?<U>Well, I want to see the movie at Cinemark Downtown theater in Spring Hills, Kansas. What is showing there?<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Backcountry<A>Beyond the Storm and Backcountry.<U>What are those movies about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond the Storm[PAN]attribute[PAV]name.person	dlg-a29e1895-9ac7-49f6-8a75-8106f6e327b6
<U>I'll see it in the second theater.<C><U>I'm hoping to go see a movie tonight.<A>OK. And where will you be seeing the movie?<U>Somewhere nearby, I guess.<A>OK. Can you give me the city and state?<U>I'm looking in Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Some new movie, maybe a James Bond one if something like that's out.<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>That's the one!<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]AMC Mercado 24	dlg-e9e45f73-ed24-4c69-bc5c-baf8d0814214
<U>I'd like to get a ticket for the 2pm show.<C><U>Hi I'd like to search a movie in my area.<A>Sure, what is your location.<U>I'm in the Manhattan area.<A>Okay, what film are you looking to see?<U>I want to see Underwater at the AMC theater in the area.<A>I'll check to see if that theater is currently playing that film.<U>Thanks.<A>Underwater is currently playing multiple viewings at the AMC theater.<U>Can you list all the evening times please.<PN>find_showtimes<PAN>name.movie<PAV>Underwater<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>evening<PR>find_showtimes<PRAN>time.showing<PRAV>6:15pm<PRAV>7pm<PRAV>9pm<PRAV>11pm<A>Sure. Underwater evening shows are 6:15pm, 7pm, 9pm, and 11pm.<U>What about the afternoon shows?<PN>find_showtimes<PAN>name.movie<PAV>Underwater<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2pm<PRAV>4pm<A>Underwater after noon shows are 2pm and 4pm.	[A]Sure. Would you like to see the film in IMAX?	dlg-070e6c87-5897-4e64-8808-c25e24c557c1
<U>Can you purchase those tickets for me?<C><U>Hey, can I purchase tickets for tomorrow to see a movie?<A>I can help you with that.<U>Good, I want to go see the movie Bird's of Prey.<A>Sure, do you have showtime you prefer?<U>Yes, 1:00 pm.<A>And which theater?<U>Try for the AMC or The Harkin's.<A>Searching for Bird;s of prey at Harkin's theater or the AMC theater....<U>check to see if I can get 7 tickets..<PN>find_theaters<PAN>name.movie<PAV>Bird's of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>The Harkin's<PRAV>AMC theater...<PN>check_tickets<PAN>name.movie<PAV>Bird's of Prey<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>7<PAN>time.preference<PAV>1:00 pm<PAN>date.showing<PAV>tomorrow<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<PN>check_tickets<PAN>name.movie<PAV>Bird;s of prey<PAN>name.theater<PAV>Harkin's theater<PAN>num.tickets<PAV>7<PAN>time.preference<PAV>1:00 pm<PAN>date.showing<PAV>tomorrow<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Searching... I have found Bird's of Prey showing at both the Harkin's theater and the AMC theater.<U>great! let's go with AMC.<A>SURE!<U>make sure it is close to me.<A>I have found Bird's of Prey near you at the AMC theater.	[A]So you are about to purchase 7 tickets to the movie Bird's of Prey at the AMC theater close to you for 1:00 pm today.....	dlg-208a9fa9-da3e-46cc-b49f-3a8e0691d6cc
<U>Thanks for your help!<C><U>Hello, could you give me a hand getting a couple of movie tickets today?<A>Of course. What is your location please?<U>I'm in Hillview, Washington.<PN>resolve_location<PAN>location<PAV>Hillview, Washington<PR>resolve_location<PRAN>location<PRAV>Hillview, Washington<A>In Hillview, all right. Do you know what movie you'd like to see?<U>No, I'm not sure about the title, but I'd like to see something at the AMC Holiday Theater.<PN>resolve_theater<PAN>name.theater<PAV>AMC Holiday Theater<PAN>location<PAV>Hillview, Washington<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_movies<PAN>location<PAV>Hillview, Washington<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>King Johnny<PRAV>Indulgent<PN>find_showtimes<PAN>name.movie<PAV>King Johnny<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>5:45<PRAV>9:00pm<PN>find_showtimes<PAN>name.movie<PAV>Indulgent<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PRAV>10:05pm<A>All right, I'll check that for you. At the AMC Holiday Theater, the movies playing are King Johnny at 5:45 and 9:00pm and Indulgent at 7pm and 10:05pm.<U>Do you know what kind of movies they are?<PN>get_movie_attribute<PAN>attribute<PAV>name.genre<PAN>name.movie<PAV>King Johnny<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>suspense<A>Yes, King Johnny is a comedy and Indulgent is a suspense film.<U>What kind of MPAA rating and also Rotten Tomatoes rating do they have?<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 71%<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 72%<A>Those are both rated R. King Johnny has a Rotten Tomatoes score of 71% and Indulgent has a Rotten Tomatoes score of 72%.<U>I think I'll go with Indulgent then. I like suspense films.<A>How many tickets would you like to get?<U>I need five tickets for the 7pm show.<A>Sounds good. So you'd like five tickets for Indulgent today, August 29th, at 7pm at the AMC Holiday Theater.<U>Yes, that's correct.<A>Very good. Would you like me to go ahead and purchase those for you now?<U>Yes, I would, thank you.<PN>book_tickets<PAN>name.movie<PAV>Indulgent<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>five<PAN>time.showing<PAV>7pm<PAN>date.showing<PAV>today, August 29th<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>All set. Your tickets are confirmed and they’ve been sent to your email address.	[A]You're welcome. Enjoy the film!	dlg-2461848f-6e00-4cb8-a630-e725fab02d97
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<C><U>What movies are playing near Spring HIll, Kansas?<PN>find_movies<PAN>location<PAV>near Spring HIll, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<A>Not My Problem and Family Jewels are the top movies.<U>OK, and what movie theater are they playing at?<PN>find_theaters<PAN>location<PAV>near Spring HIll, Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>near Spring HIll, Kansas<PAN>name.movie<PAV>Family Jewels	[A]AMC Holiday Movie Theater in Spring HIlls.	dlg-9bae00a0-df59-4bc0-a60d-6ba3f29e8f4b
<U>I think there are a couple theaters near me<C><U>I want to see a movie can you help me?<A>OK. Can you tell me the city and state where the theater is located?<U>I really wanna see something soon, it's been to long<A>Great. Can you tell me the city and state where you plan to see the movie?<U>Im in Santa Barbara<A>Got it. Are you interested in a particular movie?	[A]OK. Is there a movie you have in mind?	dlg-5f7f93e0-114a-4ce4-a7a0-f34e73c90209
<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<C><U>Hi there, I’d like to see a movie tonight.<A>OK. And where will you be seeing the movie?<U>In the Movie theater by me.<A>OK. Can you give me the city and state?<U>It’s the one in Creek’s End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Is there a James Bond one out now?<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>Yes! That’s the one.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>That sounds good, I’ll go to the second one.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mercado 24	[A]OK, No Time To Die it is.	dlg-ed026976-bbb5-4c9a-8b1d-53312513b880
<U>i was thinking about a 7:00 PM showing<C><U>hello i was wanting to go see a movie this weekend, can you order tickets for me?<A>yeah sure! I can do that, do you know what movie you would like to see?<U>Yes I want to go see Birds of Prey.<A>okay, and where do you want to see the movie?<U>i was thinking about a theater in roseville<A>okay i am seeing two theaters in roseville.<U>i want to see it at the century 14<A>okay, what type of screen do you want to watch it on?<U>i want to see an IMAX screening of the movie<A>perfect, how many tickets will you be needing?<U>i need 2 tickets, one for me and one for my husband<A>what time did you want to see the movie?	[A]okay I found a 7:00 PM showing	dlg-ec76c51b-f2ec-4812-bae8-36cdecadd2b9
<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>Hello I would like to order movie tickets?<A>What area would you like ?<U>Spring Hills Kansas.<A>What movie would you like ?<U>I would like to learn more about the movie Family jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels is a Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>I would like to learn more about the movie beyond the storm<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>name.person	[A]Beyond The Storm -is a Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.	dlg-76a33020-0b36-450f-b67b-8963ec4589a9
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<C><U>Good morning, I would like to get some movie tickets please.<A>Sure. What would you like to see?<U>I think I'd like to see the documentary about Yosemite.<PN>resolve_movie<PAN>name.movie<PAV>documentary about Yosemite<PR>resolve_movie<PRAN>name.movie<PRAV>Backcountry<A>Excellent, to confirm, are you talking about Backcountry?<U>Yes, that's the one. Where is that playing?<PN>find_theaters<PAN>name.movie<PAV>Backcountry<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<A>It is playing at Cinemark Downtown.<U>Would it be appropriate to bring my kids? What's it rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated G<A>I believe so. Backcountry is rated G.<U>Oh that's perfect, I think it had good reviews, is that right?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>It did receive 91% on Rotten Tomatoes<A>It did receive 91% on Rotten Tomatoes.<U>Awesome. I'm excited to go see it. What time is it playing?<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>Showtimes for today are 4:10pm, 7:30pm, and 10:15pm. Do any of those work for you?<U>Yes, actually the 4:10pm would be the easiest.<A>Perfect, how many tickets would you like?<U>I'd need three tickets. Just curious, is anything else playing at that theater that is kid-friendly?<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>nearby<PAN>description.other<PAV>kid-friendly<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>rating.movie	[A]The only other movie playing at Cinemark Dowtown today is Beyond the Storm. It is an action movie directed by James Cameron and is rated PG-13.	dlg-73dbe925-64dd-43a9-b8f4-0072cb78a547
<U>I'm interested in finding some information about movie theaters in Los Angeles California	[PN]resolve_movie[PAN]name.movie[PAV]Circle of life movie	dlg-f8162177-663e-44b8-8d67-77ca18b5fdf6
<U>Can you give me a brief description of Mulan?<C><U>I'd like to see a movie tonight, can you help?<A>Sure. What movie would you like to see?<U>What movies are showing tonight at Boulevard 14 Cinema Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.	[A]Sure. What specifically would you like to know?	dlg-0ab89a14-aa30-4dc1-86ab-b70eb93fe7a5
