<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<U>No. Can you give tell me the story line of each?<C><U>I am in need of ordering some movie tickets.<A>How many tickets are you looking to get?<U>5<A>Ok. And for which movie?<U>I am stuck between two, Beyond the Storm and Backcountry.<A>Well both of those are showing in your area, Spring Hills, Kansas. Is that where you plan n seeing it?<U>Yes.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Beyond the Storm<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>name.movie<PAV>Backcountry<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<A>They are both also showing at the Cinemark Downtown theater. Would that be ok for you?<U>Yes.<A>So do you know which of the two you would like to see?	[PN]get_movie_attribute[PAN]name.movie[PAV]Backcountry[PAN]attribute[PAV]description.plot	dlg-2f037437-feb6-4ba7-839b-544da1c7b37d
<U>I want No Time To Die<C><U>Already have a movie in mind<A>Ok, what movie is it?	[A]What theater do you want?	dlg-e7b03004-d331-4540-9487-b43131eaec28
<U>First tell me the movie is which running now?<C><U>I am looking for booking a movie ticket<A>I will surely help you out. Can you please tell me the exact date of ticket booking?<U>I want to book my ticket on 1/09/2020<A>Yes Sure. Can you provide me the name of movie?	[PN]find_movies[PAN]location[PAV]nearby	dlg-f4fb76f1-7f29-41d8-8552-3229fa24ff47
<U>I would like to buy two tickets, for my friend and I, to see a movie here at Land’s End Montana today.<C><U>Hello there<A>Hi! I'm here to help you. How may I be of assistance today?	[A]Great! What movie do you want to see today? We've got a couple of delightful titles at the local theater for today!	dlg-685f5726-0e0b-4abc-b082-1ada7a85600e
<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<C><S><A>Hello. How can I help you?<U>The new James Bond flick I wanna see<PN>resolve_movie<PAN>name.movie<PAV>The new James Bond flick<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>yes<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>The bay area<PN>resolve_location<PAN>location<PAV>The bay area<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>yes<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>AMC Mountain 16 please<A>OK. Let me check showtimes at AMC Mountain 16.<U>yes<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.	dlg-e76b1d73-63f8-484d-bcf1-25c5ec7ba7f0
<PR>book_tickets<PRAN>status<PRAV>success<C><U>i am going to the movie its my favourite<A>OK. And where will you be seeing the movie?<U>near my city<A>OK. Can you give me the city and state?<U>creaks End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>James Bond<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>yes<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>AMC Mercado 24<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK, AMC Mercado 24 it is.<U>what times are available?<A>It looks like tonight’s remaining showtimes for No Time To Die at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>5:00pm<A>OK, so you'd like 5:00pm. And how many tickets?<U>three<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>yes its correct<A>Is it OK to go ahead and purchase these tickets?<U>yes<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-ed9dbb5b-086b-4531-94dc-756e652d4f68
<PR>check_tickets<PRAN>status<PRAV>available<C><U>Hi,<A>Hello. How can i help you ?<U>Iam here to book a tickets at cinemark down town at 6:10pm<PN>resolve_theater<PAN>name.theater<PAV>cinemark down town<PAN>location<PAV>nearby<PR>resolve_theater<PRAN>name.theater<PRAV>cinemark downtown<A>let me check the availability<U>ok<PN>check_tickets<PAN>name.theater<PAV>cinemark down town<PAN>num.tickets<PAV>one<PAN>time.preference<PAV>6:10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>sorry, unfortunately there are no more seat availability on 6:10pm at cinemark downtown<U>please check on my location too<A>please wait sir let me check in<U>ok<PN>find_theaters<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC holiday theater<PN>check_tickets<PAN>seating<PAV>any<PAN>date.showing<PAV>today<PAN>time.showing<PAV>5:00pm<PAN>name.theater<PAV>AMC holiday theater<PAN>num.tickets<PAV>one	[A]there are more availability on AMC holiday theater at 5:00pm	dlg-95abf3c0-fa53-454d-8654-1f49b614701b
<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<C><U>hi,booking agent<A>hi sir,how can i help you?<U>shall i know the movie list<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem,Family<PRAV>Problem,Family Jewels,Shuttered,Beyond<PRAV>Jewels,Shuttered,Beyond the Storm,Back<A>Not My Problem,Family Jewels,Shuttered,Beyond the Storm,Back Country.<U>is there any comedy film?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem,Family<PAN>attribute<PAV>name.genre	[A]Not My Problem is available	dlg-04690805-bc93-4352-9942-5f366460b983
"<U>I enjoyed both the Wizard of Oz and the Downton Abbey series. But I don't want any bad ""feels"" when I leave the movie. I like to feel uplifted by the acting and meaning behind the story. I do like some action/thriller type movies as well.<C><U>Can you tell me of any movies playing that relay a personal message or history?\n<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Downton Abbey<PRAV>Judy<A>Well, there is the English movie about the turn of the century, Downton Abbey. Or if you prefer a biography like Judy, the story of Judy Garland."	"[PN]find_movies[PAN]description.other[PAV]I don't want any bad ""feels"" when I leave the movie. I like to feel uplifted by the acting and meaning behind the story"	dlg-7251d287-b891-49bc-8ffd-89e61abe989b
<U>Perfect<C><S><A>Hello. How can I help you?<U>Hi, I'm interested in seeing that James Bond movie<PN>resolve_movie<PAN>name.movie<PAV>James Bond movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes, that's the one<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>SanFran in California<PN>resolve_location<PAN>location<PAV>SanFran in California<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Thanks<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>Yeah, I think AMC Mountain 16 works better<A>OK. Let me check showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-13101bc8-0f31-4cda-8537-ea6a2064f86a
<U>Tell me about Not My Problem.<C><U>Can you help me get movie tickets?<A>Can I get your location?<U>Spring Hills, Kansas.<A>There are two theaters in Spring Hills, do you know which one you want to go too?<U>Yes. AMC Theater.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Theater<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<A>AMC has Not My Problem, Family Jewels, and Shuttered playing today. Would you like to hear more about any of these movies?	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]review.critic	dlg-a94cda2e-702d-4393-875d-d3b54de436f3
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Yeah, we want to see The Gentlemen tomorrow night at around 7:00 pm.<A>Did you have a theatre in mind?<U>No, not really. Just something in the area and around 7:00 pm and for four people.<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>CinéBistro<PAN>date.showing<PAV>tomorrow night<PAN>time.preference<PAV>around 7:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>7:30 pm<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>Landmark<PAN>date.showing<PAV>tomorrow night<PAN>time.preference<PAV>around 7:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>6:50 pm<A>There is a 7:30 pm showing of The Gentlemen at the CinéBistro at the Rotunda. There is also a 6:50 pm at the Landmark Theatres, Harbor East. Do you want to hear more choices?<U>Yes, a few more choices, please.<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>Hoyt's West Nursery Cinema 14<PAN>date.showing<PAV>tomorrow night<PAN>time.preference<PAV>around 7:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>7:35 pm<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>Horizon Cinemas Sun Valley<PAN>date.showing<PAV>tomorrow night<PAN>time.preference<PAV>around 7:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>6:05 pm<A>At the Hoyt's West Nursery Cinema 14 there is a 7:35 pm showing and at the Horizon Cinemas Sun Valley there is a 6:05 pm showing. Which would you prefer.<U>I guess we will take the 7:35 pm at the Hoyt's, again for four people.<A>Okay, so we will have four people at the Hoyt's West Nursery Cinema 14 for the 7:35 pm showing of The Gentlemen. The price for four people totals out to $40. I can go ahead and confirm those seats for you. Will you be using the same form of payment.<U>Yeah, that will be good. Four seats, 7:35 pm Hoyt's West Nursery Cinema 14 I got and we will use the same form of payment. But, before you put things in stone, can I check another time?<A>What other time did you want to search?<U>I was thinking that since tomorrow is Saturday we can go at an earlier time. Is there anything earlier?<A>Were you interested at looking at the same theatre?<U>Yes, same theatre, same movie, just earlier time.<PN>find_showtimes<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>Hoyt's West Nursery Cinema 14<PAN>date.showing<PAV>tomorrow is Saturday<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:05 pm<PRAV>4:55 pm<A>At the Hoyt's West Nursery Cinema 14 there is a 2:05 pm and a 4:55 pm showing of The Gentlemen. Which would you like?<U>We will take the 4:55 pm.<A>Okay, so I can go ahead and confirm four seats for the 4:55 pm showing of The Gentlemen at the Hoyt's West Nursery Cinema 14. Again, the total cost is $40.<U>Okay, so we are all set then?<A>Yes, you will receive an email confirmation with your receipt and you can use the code provided along with your identification to receive your tickets.<U>Okay, thank you.<PN>book_tickets<PAN>name.movie<PAV>The Gentlemen<PAN>name.theater<PAV>Hoyt's West Nursery Cinema 14<PAN>num.tickets<PAV>four<PAN>time.showing<PAV>4:55 pm<PAN>date.showing<PAV>tomorrow is Saturday<PAN>seating<PAV>any	[A]Thank you and enjoy your evening.	dlg-23ae9e14-8262-4dd9-9daa-36116f1c9b9a
<U>No that's it! Thank you so much!<C><U>Hey I just thought about watching a movie tonight<A>OK. Do you have anything in mind?<U>UHHH not really?<A>Sure. And what city are you looking in?<U>I currently live in Brando, Texas!<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>No not really... I like all kinds of movies. Can you provide some titles that are out right now?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh wait I heard about Stella's House from my friends. They said it was pretty good. Who is the director again?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>Ohhhhhhhhh yayyyyy That's right this guy is amazing!!!! Can I have more details about the movie? When? where?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>Oh shoot actually I just figured out that I have something to do tonight. Can I switch to tomorrow?<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?<U>Sorry may I ask when is the latest one again?<A>Sure. The last showing is 9:30pm.<U>That's great. 9:30 it is! Can I have 4 tickets for Stella house at 9:30pm tomorrow? Milford Theater?<A>All right. Let me confirm. You’d like 4 tickets for the 9:30pm showing of Stella’s House at Milford Theater tomorrow. Is that all correct?<U>Correct.<A>Is it OK to go ahead and purchase these tickets?<U>Sure! Please!<PN>book_tickets<PAN>name.movie<PAV>Stella’s House<PAN>name.theater<PAV>Milford Theater<PAN>time.showing<PAV>9:30pm<PAN>num.tickets<PAV>4<PAN>date.showing<PAV>tomorrow<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-e1ec4910-a6a3-4a95-af08-6d0614710040
<U>Does The Dark Tower have good reviews? I need 4 tickets to something and that looks interesting.	[PN]get_movie_attribute[PAN]name.movie[PAV]The Dark Tower[PAN]attribute[PAV]review.audience	dlg-b5374bb2-b984-4058-a870-0dc88da6285c
<PR>get_movie_attribute<PRAN>name.person<PRAV>Constance Wu<C><U>I want to watch a movie today.<A>Okay. What kind of movie would you like to watch?<U>I want an entertaining movie that's not too serious.<PN>find_movies<PAN>description.other<PAV>entertaining movie that's not too serious<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Once Upon a Time in Hollywood<PRAV>Hobbs & Shaw<PRAV>The Addams Family<PRAV>Hustlers<A>What about Once Upon a Time in Hollywood, Hobbs & Shaw, Hustlers, or The Addams Family?<U>Who stars in the movie Hustlers?<PN>get_movie_attribute<PAN>name.movie<PAV>Hustlers<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Jennifer Lopez<PN>get_movie_attribute<PAN>name.movie<PAV>Hustlers<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Lili Reinhart<PN>get_movie_attribute<PAN>name.movie<PAV>Hustlers<PAN>attribute<PAV>name.person	[A]Jennifer Lopez, Lili Reinhart, and Constance Wu are the stars of Hustlers.	dlg-766f2295-73d1-4b91-8b98-3093e4d34c29
<U>I chooses AMC Mercado 24, because which is near to my place.<C><U>Today night, I'am going out to see a movie.<A>OK. And where will you be seeing the movie?<U>I will be in Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Yes. I want to see Mulan, with my kids.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.	[PN]find_showtimes[PAN]name.movie[PAV]Mulan[PAN]name.theater[PAV]AMC Mercado 24	dlg-fe9aacb6-c1ab-485c-a5cf-afe3cfd66e3c
<PR>find_showtimes<PRAN>time.showing<PRAV>5 pm<C><U>Hi, I'm bored, what is there to do?<A>Do you want sports, movies, museums, or parks?<U>I'm not sure, what museums are there?<A>the Shultz air museum is near you.<U>I've already done that, what else?<A>There is a movie theater not too far? Do you like movies?<U>Sure, what's good?<A>What kind of movies do you like?<U>I like action or drama, it depends.<PN>find_movies<PAN>name.genre<PAV>drama<PAN>location<PAV>near you<PR>find_movies<PRAN>name.movie<PRAV>Bad boys<A>There is a new Bad boys movie? Would you like to see that?<U>Who's in it?<PN>get_movie_attribute<PAN>name.movie<PAV>Bad boys<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Lawerence<PN>get_movie_attribute<PAN>name.movie<PAV>Bad boys<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Will Smith<A>Lawerence and Will Smith, star.<U>Sure, is there a showing at 5 pm?<PN>find_theaters<PAN>name.movie<PAV>Bad boys<PAN>location<PAV>near you<PR>find_theaters<PRAN>name.theater<PRAV>Airport Cinema<PN>find_showtimes<PAN>name.movie<PAV>Bad boys<PAN>name.theater<PAV>Airport Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5 pm	[A]Yes there is, would you like tickets to the Airport Cinema?	dlg-45e07eac-1dd5-4905-9935-996c9492a03f
<U>My girlfriend and I would like to go this evening.<C><U>Hello. I am interested in getting some movie tickets.<A>That is certainly something I can help with. Where are you located?<U>I live in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PRAV>AMC Holiday Theater<A>I see you have a Cinemark Downtown and an AMC Holiday Theater. Is there one that you prefer over the other?<U>Cinemark Downtown is honestly the closest to home.<A>Okay. On what day would you like to go?	[A]So, that will be two tickets then, correct.	dlg-e140cbc4-ccfa-47e9-9aee-49d90d9fe8d3
<U>What about the movie<C><U>Hello I would like to book movie tickets<A>What area would you like ?<U>Spring Hills Kansas.<A>What movie would you like ?<U>I would like Information about the movie shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>shuttered<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Shuttered a Horror -Movie rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.	[PN]find_movies[PAN]location[PAV]Spring Hills Kansas	dlg-fe0ae5f0-9339-4f23-8f8a-4f48b3ec1383
<U>We need 4 tickets.<C><U>Get me some movie tickets.<A>Sure, what movie do you want to see?<U>Hmm. Which movie has a higher MPAA rating between Backcountry and Beyond the Storm.<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<A>Beyond the Storm has a higher rating with PG-13. Backcountry is rated G.<U>Tell me their Rotten Tomatoes ratings.<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>81%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>91%<A>On Rotten Tomatoes, Beyond the Storm has an 81%, and Backcountry has a 91%.<U>We wanna see Backcountry then.<A>Ok! How many tickets do you need?	[A]Four, got it. What day do you want to go, and which theater?	dlg-5292094c-f3a9-4bde-9829-0ad1ac71f1e9
"<U>I enjoy foreign films, but I'm not in the mood to read subtitles today.<C><U>Hi! I want to pick out a movie for date night. Can you help?<A>Yes, I can. Would you like to leave the movie theater feeling scared?<U>No, I'm not in the mood for a scary movie. I want to watch a movie that makes me feel good -- preferably one that makes me laugh out loud.<PN>find_movies<PAN>description.other<PAV>that makes me feel good -- preferably one that makes me laugh out loud<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Countdown""<A>OK, so ""Countdown"" isn't for you. Do you want romance in your movie?<U>Romance could definitely be part of the plot, but I don't want to watch a love story.<PN>find_movies<PAN>description.other<PAV>don't want to watch a love story<PR>find_movies<PRAN>name.movie<PRAV>""Addams Family?""<A>Gotcha -- no rom-coms. Comedy seems to be the genre for you. How do you feel about animated films, like the ""Addams Family?""<U>I'm more in the mood for a live action film today. And I definitely don't want to watch a kid's movie.<PN>find_movies<PAN>description.other<PAV>I definitely don't want to watch a kid's movie<PR>find_movies<PRAN>name.movie<PRAV>""Housefull 4.""<A>OK, I understand. There's a good, adult comedy out from Bollywood called ""Housefull 4."" What do you think about foreign films."	[A]Alright. Just a few more questions. Is it important for the movies you watch to be critically acclaimed?	dlg-de6263cf-c5bb-4f97-8755-8340900499de
<U>Wait. Does 1917 have an IMAX option?<C><U>I would like to see a movie tonight<A>What movie would you like to see?<U>1917. I heard it is a good movie<PN>get_movie_attribute<PAN>name.movie<PAV>1917<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>92% on Rotten Apples<A>1917 scores 92% on Rotten Apples<U>It should be a good movie then<A>Which theater do you want me to book?<U>The Regal Santiam<A>What time would you like to see the movie?<U>7 PM<A>How many tickets?<U>Four<A>What type of screen would you like?<U>Just a standard screen<A>And just to verify you would like tickets for tonight January 28th?<U>Yes<A>I can book four tickets for 1917 for tonite, September 28th, at the 7PM show at the Standard type Screen at the Regal Santiam.	[A]Yes it does.	dlg-7f8f4535-0ebd-4bd5-b15a-16812d076a29
<U>Yes, please purchase<C><S><A>Hello. How can I help you?<U>I need show times for that Don't Die Now movie<PN>resolve_movie<PAN>name.movie<PAV>Don't Die Now movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>SF<PN>resolve_location<PAN>location<PAV>SF<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>OK<PN>find_theaters<PAN>name.movie<PAV>Don't Die Now movie<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>Yes, AMC Mountain 16<A>OK. Let me check showtimes at AMC Mountain 16.<U>OK<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>I want to watch the 9:10pm<A>Got it. And how many tickets?<U>Three please!<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Correct<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]num.tickets[PAV]Three[PAN]time.showing[PAV]9:10pm[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-3599f1b3-ff07-4651-bfa9-d2c4c40d5805
<U>Thank you,first can you tell me about the theater AMC Holiday Theater? Is it always cold in there?<C><U>Hi, I would like to book two movietickets, but have some questions first.<A>I am able to help you with that. I'll do my best to answer your questions.	[PN]resolve_theater[PAN]name.theater[PAV]AMC Holiday[PAN]location[PAV]nearby	dlg-8e0cac84-4216-45fa-a047-d69e46135296
<U>Not Zombieland I don't feel like a scary movie. Is The Addams family live action?<C><U>What movies in theater are fun and/or exciting?<PN>find_movies<PAN>description.other<PAV>fun and/or exciting<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Zombieland: Double Trip<PRAV>The Addams Family<PRAV>Terminator: Dark Fate<PRAV>Spirited Away<PRAV>Arctic Dogs<PRAV>Abominable<A>Zombieland: Double Trip, The Addams Family, Terminator: Dark Fate, Spirited Away	[PN]get_movie_attribute[PAN]name.movie[PAV]The Addams Family[PAN]attribute[PAV]name.genre	dlg-1d3adb9f-cb85-4b50-867b-4343af92ed98
<U>What times are available?<C><U>hey, whats about the movie tonight?<A>OK. And where will you be seeing the movie?<U>in the mall next to my street<A>OK. Can you give me the city and state?<U>creek end ,oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>James Bond<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>No Time To Die<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>second one<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK, AMC Mercado 24 it is.	[A]It looks like tonight’s remaining showtimes for No Time To Die at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?	dlg-1bae96aa-87a4-46ac-a405-9d7df3939487
